,Estimators,Time,Train Pred,Train Prob,Train Score,Test Pred,Test Prob,Test Score
10,350,59.7668719291687,[3 4 4 ... 4 4 4],"[[0.00000000e+00 1.34285714e-01 6.57142857e-02 7.14285714e-01
  8.57142857e-02]
 [0.00000000e+00 2.57274958e-02 3.14342329e-02 1.14380072e-02
  9.31400264e-01]
 [0.00000000e+00 1.89363899e-01 0.00000000e+00 2.71297939e-02
  7.83506307e-01]
 ...
 [3.29867861e-06 5.29290128e-02 3.77764678e-02 2.19573117e-02
  8.87333909e-01]
 [0.00000000e+00 5.83090379e-06 0.00000000e+00 2.62077181e-05
  9.99967961e-01]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  1.00000000e+00]]",0.9836030390178992,[4 4 4 ... 4 4 4],"[[0.00000000e+00 7.92682221e-05 2.24618149e-06 5.81016485e-03
  9.94108321e-01]
 [0.00000000e+00 1.71428571e-02 2.00000000e-02 1.42857143e-02
  9.48571429e-01]
 [1.39645301e-06 1.26728925e-01 5.46456483e-02 2.97278139e-02
  7.88896216e-01]
 ...
 [0.00000000e+00 1.03653740e-01 1.30447838e-01 3.34574693e-01
  4.31323728e-01]
 [2.85714286e-03 2.86320413e-02 3.14617525e-02 1.60111415e-01
  7.76937648e-01]
 [1.90222560e-06 3.05897001e-01 8.86310572e-02 3.73055807e-02
  5.68164459e-01]]",0.7945152568559289
11,375,64.38125586509705,[3 4 4 ... 4 4 4],"[[0.00000000e+00 1.25333333e-01 1.12000000e-01 6.82666667e-01
  8.00000000e-02]
 [0.00000000e+00 2.66666667e-02 3.20000000e-02 2.93333333e-02
  9.12000000e-01]
 [0.00000000e+00 1.93543894e-01 0.00000000e+00 2.76328736e-02
  7.78823232e-01]
 ...
 [1.91708603e-06 6.99493426e-02 4.81728831e-02 2.20458704e-02
  8.59829987e-01]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  1.00000000e+00]
 [0.00000000e+00 0.00000000e+00 2.66666667e-03 0.00000000e+00
  9.97333333e-01]]",0.9836030390178992,[4 4 4 ... 4 4 4],"[[0.00000000e+00 3.70370370e-05 0.00000000e+00 5.33333333e-03
  9.94629630e-01]
 [0.00000000e+00 2.13333333e-02 8.00000000e-03 3.20000000e-02
  9.38666667e-01]
 [0.00000000e+00 9.63143062e-02 4.54753455e-02 2.45622264e-02
  8.33648122e-01]
 ...
 [0.00000000e+00 7.53463108e-02 1.26492063e-01 3.70913277e-01
  4.27248349e-01]
 [0.00000000e+00 6.13832990e-02 4.00263074e-02 1.44111181e-01
  7.54479212e-01]
 [0.00000000e+00 2.88018529e-01 1.09389402e-01 4.27145339e-02
  5.59877535e-01]]",0.7960602549246814
12,400,68.50038194656372,[3 4 4 ... 4 4 4],"[[0.         0.11       0.06       0.7175     0.1125    ]
 [0.         0.025      0.025      0.0325     0.9175    ]
 [0.         0.18888084 0.         0.02743283 0.78368632]
 ...
 [0.         0.06516277 0.05006796 0.01518902 0.86958025]
 [0.         0.         0.         0.         1.        ]
 [0.         0.         0.         0.         1.        ]]",0.9836030390178992,[4 4 4 ... 4 4 4],"[[0.         0.         0.         0.01512764 0.98487236]
 [0.         0.03       0.015      0.015      0.94      ]
 [0.         0.13501903 0.035014   0.03253225 0.79743472]
 ...
 [0.         0.095625   0.1180119  0.36258929 0.42377381]
 [0.         0.0325     0.04       0.1625     0.765     ]
 [0.         0.28       0.1        0.03       0.59      ]]",0.7945152568559289
13,425,75.69256019592285,[3 4 4 ... 4 4 4],"[[0.         0.09882353 0.08705882 0.69176471 0.12235294]
 [0.         0.02823529 0.03764706 0.03058824 0.90352941]
 [0.         0.19577514 0.         0.02682443 0.77740043]
 ...
 [0.         0.06825187 0.04236578 0.01650232 0.87288003]
 [0.         0.         0.         0.         1.        ]
 [0.         0.         0.00470588 0.         0.99529412]]",0.9836030390178992,[4 4 4 ... 4 4 4],"[[0.         0.         0.         0.00470588 0.99529412]
 [0.         0.01411765 0.00470588 0.02352941 0.95764706]
 [0.         0.11765176 0.05411951 0.01883838 0.80939036]
 ...
 [0.         0.1        0.13878431 0.36571429 0.3955014 ]
 [0.         0.03058824 0.02352941 0.15058824 0.79529412]
 [0.         0.27764706 0.10823529 0.04       0.57411765]]",0.7941290073387408
14,450,77.544118642807,[3 4 4 ... 4 4 4],"[[0.         0.10222222 0.09777778 0.71555556 0.08444444]
 [0.         0.02222222 0.03111111 0.03333333 0.91333333]
 [0.         0.19166036 0.         0.02708835 0.78125129]
 ...
 [0.         0.06667433 0.03111111 0.02667077 0.87554379]
 [0.         0.         0.         0.         1.        ]
 [0.         0.         0.00222222 0.00222222 0.99555556]]",0.9836030390178992,[4 4 4 ... 4 4 4],"[[0.         0.00239536 0.         0.00231056 0.99529407]
 [0.         0.02       0.02       0.02444444 0.93555556]
 [0.         0.11333333 0.07333333 0.02888889 0.78444444]
 ...
 [0.         0.09648148 0.15469048 0.32932011 0.41950794]
 [0.         0.02888889 0.02888889 0.16888889 0.77333333]
 [0.         0.28222222 0.08888889 0.05333333 0.57555556]]",0.7972190034762456
15,475,81.66202139854431,[3 4 4 ... 4 4 4],"[[0.         0.12210526 0.07368421 0.74105263 0.06315789]
 [0.         0.01052632 0.03157895 0.02736842 0.93052632]
 [0.         0.1932855  0.         0.02660923 0.78010527]
 ...
 [0.         0.05894737 0.04421053 0.02105263 0.87578947]
 [0.         0.         0.         0.         1.        ]
 [0.         0.         0.         0.00210526 0.99789474]]",0.9836030390178992,[4 4 4 ... 4 4 4],"[[0.         0.00842105 0.         0.00421053 0.98736842]
 [0.         0.01684211 0.02105263 0.02947368 0.93263158]
 [0.         0.11789474 0.06736842 0.02105263 0.79368421]
 ...
 [0.         0.11859649 0.1199198  0.34558396 0.41589975]
 [0.         0.04       0.02947368 0.13894737 0.79157895]
 [0.         0.30526316 0.09263158 0.04       0.56210526]]",0.7960602549246814
16,500,85.96960735321045,[3 4 4 ... 4 4 4],"[[0.         0.126      0.098      0.684      0.092     ]
 [0.         0.018      0.028      0.03       0.924     ]
 [0.         0.18999169 0.         0.02705219 0.78295612]
 ...
 [0.         0.06       0.036      0.02       0.884     ]
 [0.         0.         0.         0.         1.        ]
 [0.         0.002      0.         0.         0.998     ]]",0.9836030390178992,[4 4 4 ... 4 4 4],"[[0.         0.         0.         0.002      0.998     ]
 [0.         0.024      0.012      0.018      0.946     ]
 [0.         0.128      0.044      0.024      0.804     ]
 ...
 [0.         0.1045     0.14550476 0.34356667 0.40642857]
 [0.         0.036      0.036      0.124      0.804     ]
 [0.         0.316      0.082      0.05       0.552     ]]",0.7968327539590575
17,525,90.29562664031982,[3 4 4 ... 4 4 4],"[[0.         0.11428571 0.08       0.72       0.08571429]
 [0.         0.01904762 0.04       0.03047619 0.91047619]
 [0.         0.1887095  0.         0.02900816 0.78228234]
 ...
 [0.         0.04761905 0.04761905 0.02285714 0.88190476]
 [0.         0.         0.         0.         1.        ]
 [0.         0.         0.00190476 0.00190476 0.99619048]]",0.9836030390178992,[4 4 4 ... 4 4 4],"[[0.00000000e+00 1.97444832e-03 3.80952381e-04 4.24171620e-03
  9.93402883e-01]
 [0.00000000e+00 1.71428571e-02 1.90476190e-02 7.61904762e-03
  9.56190476e-01]
 [0.00000000e+00 1.25714286e-01 6.09523810e-02 2.66666667e-02
  7.86666667e-01]
 ...
 [0.00000000e+00 1.13333333e-01 1.34421769e-01 3.25700680e-01
  4.26544218e-01]
 [0.00000000e+00 3.61904762e-02 3.42857143e-02 1.54285714e-01
  7.75238095e-01]
 [0.00000000e+00 2.93333333e-01 1.08571429e-01 2.66666667e-02
  5.71428571e-01]]",0.7952877558903051
18,550,95.30706405639648,[3 4 4 ... 4 4 4],"[[0.         0.12545455 0.08909091 0.69272727 0.09272727]
 [0.         0.02181818 0.04       0.04181818 0.89636364]
 [0.         0.1901015  0.         0.02706572 0.78283278]
 ...
 [0.         0.07272727 0.03454545 0.01090909 0.88181818]
 [0.         0.         0.         0.         1.        ]
 [0.         0.         0.00181818 0.00363636 0.99454545]]",0.9836030390178992,[4 4 4 ... 4 4 4],"[[0.         0.00188749 0.         0.00554189 0.99257062]
 [0.         0.01818182 0.02727273 0.01090909 0.94363636]
 [0.         0.14       0.06       0.03272727 0.76727273]
 ...
 [0.         0.08393939 0.11113853 0.34898268 0.45593939]
 [0.         0.03090909 0.02363636 0.13454545 0.81090909]
 [0.         0.29272727 0.09636364 0.05090909 0.56      ]]",0.7964465044418695
19,575,101.64164710044861,[3 4 4 ... 4 4 4],"[[0.         0.14434783 0.08173913 0.67304348 0.10086957]
 [0.         0.01913043 0.03826087 0.03652174 0.90608696]
 [0.         0.19404627 0.         0.0269605  0.77899322]
 ...
 [0.         0.06956522 0.04173913 0.01391304 0.87478261]
 [0.         0.         0.         0.         1.        ]
 [0.         0.00173913 0.00173913 0.01043478 0.98608696]]",0.9836030390178992,[4 4 4 ... 4 4 4],"[[0.         0.00528696 0.         0.0035278  0.99118524]
 [0.         0.0173913  0.0226087  0.01391304 0.94608696]
 [0.         0.10782609 0.07130435 0.0226087  0.79826087]
 ...
 [0.         0.09478261 0.15372947 0.36793789 0.38355003]
 [0.         0.04869565 0.04       0.16173913 0.74956522]
 [0.         0.3373913  0.10086957 0.03652174 0.52521739]]",0.7952877558903051
